"PA","Time","total","change"
"PUNGGOL",2022,186270,9550
"PUNGGOL",2023,195180,8910
"QUEENSTOWN",2001,95930,-2170
"QUEENSTOWN",2002,95110,-820
"QUEENSTOWN",2003,92630,-2480
"QUEENSTOWN",2004,92880,250
"QUEENSTOWN",2005,93060,180
"QUEENSTOWN",2006,93880,820
"QUEENSTOWN",2007,94940,1060
"QUEENSTOWN",2008,96010,1070
"QUEENSTOWN",2009,98470,2460
"QUEENSTOWN",2010,98470,0
"QUEENSTOWN",2011,97810,-660
"QUEENSTOWN",2012,97970,160
"QUEENSTOWN",2013,99240,1270
"QUEENSTOWN",2014,98840,-400
"QUEENSTOWN",2015,98170,-670
"QUEENSTOWN",2016,99450,1280
"QUEENSTOWN",2017,97930,-1520
"QUEENSTOWN",2018,97980,50
"QUEENSTOWN",2019,96360,-1620
"QUEENSTOWN",2020,96090,-270
"QUEENSTOWN",2021,93720,-2370
"QUEENSTOWN",2022,96970,3250
"QUEENSTOWN",2023,99890,2920
"RIVER VALLEY",2001,9520,0
"RIVER VALLEY",2002,9610,90
"RIVER VALLEY",2003,9020,-590
"RIVER VALLEY",2004,9180,160
"RIVER VALLEY",2005,9550,370
"RIVER VALLEY",2006,9740,190
"RIVER VALLEY",2007,9160,-580
"RIVER VALLEY",2008,8560,-600
"RIVER VALLEY",2009,8090,-470
"RIVER VALLEY",2010,8370,280
"RIVER VALLEY",2011,8430,60
"RIVER VALLEY",2012,8620,190
"RIVER VALLEY",2013,8900,280
"RIVER VALLEY",2014,9120,220
"RIVER VALLEY",2015,9240,120
"RIVER VALLEY",2016,9260,20
"RIVER VALLEY",2017,9730,470
"RIVER VALLEY",2018,9890,160
"RIVER VALLEY",2019,10280,390
"RIVER VALLEY",2020,10020,-260
"RIVER VALLEY",2021,10110,90
"RIVER VALLEY",2022,11290,1180
"RIVER VALLEY",2023,12020,730
"ROCHOR",2001,17540,-290
"ROCHOR",2002,17180,-360
"ROCHOR",2003,14960,-2220
"ROCHOR",2004,14730,-230
"ROCHOR",2005,14910,180
"ROCHOR",2006,15300,390
"ROCHOR",2007,15500,200
"ROCHOR",2008,15680,180
"ROCHOR",2009,16010,330
"ROCHOR",2010,15630,-380
"ROCHOR",2011,15460,-170
"ROCHOR",2012,15300,-160
"ROCHOR",2013,15080,-220
"ROCHOR",2014,14840,-240
"ROCHOR",2015,14660,-180
"ROCHOR",2016,14350,-310
"ROCHOR",2017,13970,-380
"ROCHOR",2018,13440,-530
"ROCHOR",2019,13490,50
"ROCHOR",2020,13350,-140
"ROCHOR",2021,12660,-690
"ROCHOR",2022,12810,150
"ROCHOR",2023,13080,270
"SELETAR",2001,320,-10
"SELETAR",2002,320,0
"SELETAR",2003,290,-30
"SELETAR",2004,310,20
"SELETAR",2005,380,70
"SELETAR",2006,390,10
"SELETAR",2007,390,0
"SELETAR",2008,420,30
"SELETAR",2009,170,-250
"SELETAR",2010,160,-10
"SELETAR",2011,130,-30
"SELETAR",2012,110,-20
"SELETAR",2013,80,-30
"SELETAR",2014,130,50
"SELETAR",2015,70,-60
"SELETAR",2016,60,-10
"SELETAR",2017,50,-10
"SELETAR",2018,80,30
"SELETAR",2019,100,20
"SELETAR",2020,130,30
"SELETAR",2021,160,30
"SELETAR",2022,120,-40
"SELETAR",2023,160,40
"SEMBAWANG",2001,44860,13180
"SEMBAWANG",2002,50640,5780
"SEMBAWANG",2003,54310,3670
"SEMBAWANG",2004,57850,3540
"SEMBAWANG",2005,60850,3000
"SEMBAWANG",2006,63370,2520
"SEMBAWANG",2007,65520,2150
"SEMBAWANG",2008,67720,2200
"SEMBAWANG",2009,70180,2460
"SEMBAWANG",2010,72840,2660
"SEMBAWANG",2011,73450,610
"SEMBAWANG",2012,73530,80
"SEMBAWANG",2013,73820,290
"SEMBAWANG",2014,75870,2050
"SEMBAWANG",2015,76670,800
"SEMBAWANG",2016,77800,1130
"SEMBAWANG",2017,80100,2300
"SEMBAWANG",2018,87740,7640
"SEMBAWANG",2019,96340,8600
"SEMBAWANG",2020,103100,6760
"SEMBAWANG",2021,105240,2140
"SEMBAWANG",2022,108650,3410
"SEMBAWANG",2023,109640,990
"SENGKANG",2001,87710,26350
"SENGKANG",2002,102780,15070
"SENGKANG",2003,113360,10580
"SENGKANG",2004,122570,9210
"SENGKANG",2005,130740,8170
"SENGKANG",2006,138710,7970
"SENGKANG",2007,145070,6360
"SENGKANG",2008,153660,8590
"SENGKANG",2009,161600,7940
"SENGKANG",2010,167570,5970
"SENGKANG",2011,171630,4060
"SENGKANG",2012,178150,6520
"SENGKANG",2013,183410,5260
"SENGKANG",2014,192290,8880
"SENGKANG",2015,207330,15040
"SENGKANG",2016,219970,12640
"SENGKANG",2017,232630,12660
"SENGKANG",2018,241100,8470
"SENGKANG",2019,245280,4180
"SENGKANG",2020,249710,4430
"SENGKANG",2021,249080,-630
"SENGKANG",2022,253250,4170
"SENGKANG",2023,258360,5110
"SERANGOON",2001,121480,-1410
"SERANGOON",2002,121360,-120
"SERANGOON",2003,118270,-3090
"SERANGOON",2004,118650,380
"SERANGOON",2005,120420,1770
"SERANGOON",2006,121580,1160
"SERANGOON",2007,122500,920
"SERANGOON",2008,123090,590
"SERANGOON",2009,125030,1940
"SERANGOON",2010,125230,200
"SERANGOON",2011,124190,-1040
"SERANGOON",2012,123710,-480
"SERANGOON",2013,123310,-400
"SERANGOON",2014,122700,-610
"SERANGOON",2015,121180,-1520
"SERANGOON",2016,120350,-830
"SERANGOON",2017,119610,-740
"SERANGOON",2018,117740,-1870
"SERANGOON",2019,116920,-820
"SERANGOON",2020,117400,480
"SERANGOON",2021,115740,-1660
"SERANGOON",2022,118400,2660
"SERANGOON",2023,119140,740
"SIMPANG",2001,0,0
"SIMPANG",2002,0,0
"SIMPANG",2003,0,0
"SIMPANG",2004,0,0
"SIMPANG",2005,0,0
"SIMPANG",2006,0,0
"SIMPANG",2007,0,0
"SIMPANG",2008,0,0
"SIMPANG",2009,0,0
"SIMPANG",2010,0,0
"SIMPANG",2011,0,0
"SIMPANG",2012,0,0
"SIMPANG",2013,0,0
"SIMPANG",2014,0,0
"SIMPANG",2015,0,0
"SIMPANG",2016,0,0
"SIMPANG",2017,0,0
"SIMPANG",2018,0,0
"SIMPANG",2019,0,0
"SIMPANG",2020,0,0
"SIMPANG",2021,0,0
"SIMPANG",2022,0,0
"SIMPANG",2023,0,0
"SINGAPORE RIVER",2001,720,230
"SINGAPORE RIVER",2002,730,10
"SINGAPORE RIVER",2003,600,-130
"SINGAPORE RIVER",2004,740,140
"SINGAPORE RIVER",2005,990,250
"SINGAPORE RIVER",2006,1020,30
"SINGAPORE RIVER",2007,1100,80
"SINGAPORE RIVER",2008,1140,40
"SINGAPORE RIVER",2009,1430,290
"SINGAPORE RIVER",2010,1820,390
"SINGAPORE RIVER",2011,1920,100
"SINGAPORE RIVER",2012,2090,170
"SINGAPORE RIVER",2013,2360,270
"SINGAPORE RIVER",2014,2420,60
"SINGAPORE RIVER",2015,2510,90
"SINGAPORE RIVER",2016,2550,40
"SINGAPORE RIVER",2017,2650,100
"SINGAPORE RIVER",2018,2770,120
"SINGAPORE RIVER",2019,2870,100
"SINGAPORE RIVER",2020,3110,240
"SINGAPORE RIVER",2021,3240,130
"SINGAPORE RIVER",2022,3510,270
"SINGAPORE RIVER",2023,3740,230
"SOUTHERN ISLANDS",2001,0,0
"SOUTHERN ISLANDS",2002,0,0
"SOUTHERN ISLANDS",2003,0,0
"SOUTHERN ISLANDS",2004,0,0
"SOUTHERN ISLANDS",2005,0,0
"SOUTHERN ISLANDS",2006,0,0
"SOUTHERN ISLANDS",2007,0,0
"SOUTHERN ISLANDS",2008,80,80
"SOUTHERN ISLANDS",2009,260,180
"SOUTHERN ISLANDS",2010,580,320
"SOUTHERN ISLANDS",2011,850,270
"SOUTHERN ISLANDS",2012,1040,190
"SOUTHERN ISLANDS",2013,1410,370
"SOUTHERN ISLANDS",2014,1450,40
"SOUTHERN ISLANDS",2015,1530,80
"SOUTHERN ISLANDS",2016,1660,130
"SOUTHERN ISLANDS",2017,1730,70
"SOUTHERN ISLANDS",2018,1800,70
"SOUTHERN ISLANDS",2019,1830,30
"SOUTHERN ISLANDS",2020,2040,210
"SOUTHERN ISLANDS",2021,2010,-30
"SOUTHERN ISLANDS",2022,2240,230
"SOUTHERN ISLANDS",2023,2390,150
"STRAITS VIEW",2001,0,0
"STRAITS VIEW",2002,0,0
"STRAITS VIEW",2003,0,0
"STRAITS VIEW",2004,0,0
"STRAITS VIEW",2005,0,0
"STRAITS VIEW",2006,0,0
"STRAITS VIEW",2007,0,0
"STRAITS VIEW",2008,0,0
"STRAITS VIEW",2009,0,0
"STRAITS VIEW",2010,0,0
"STRAITS VIEW",2011,0,0
"STRAITS VIEW",2012,0,0
"STRAITS VIEW",2013,0,0
"STRAITS VIEW",2014,0,0
"STRAITS VIEW",2015,0,0
"STRAITS VIEW",2016,0,0
"STRAITS VIEW",2017,0,0
"STRAITS VIEW",2018,0,0
"STRAITS VIEW",2019,0,0
"STRAITS VIEW",2020,0,0
"STRAITS VIEW",2021,0,0
"STRAITS VIEW",2022,0,0
"STRAITS VIEW",2023,0,0
"SUNGEI KADUT",2001,700,-60
"SUNGEI KADUT",2002,760,60
"SUNGEI KADUT",2003,700,-60
"SUNGEI KADUT",2004,610,-90
"SUNGEI KADUT",2005,610,0
"SUNGEI KADUT",2006,600,-10
"SUNGEI KADUT",2007,600,0
"SUNGEI KADUT",2008,540,-60
"SUNGEI KADUT",2009,640,100
"SUNGEI KADUT",2010,640,0
"SUNGEI KADUT",2011,610,-30
"SUNGEI KADUT",2012,650,40
"SUNGEI KADUT",2013,610,-40
"SUNGEI KADUT",2014,580,-30
"SUNGEI KADUT",2015,610,30
"SUNGEI KADUT",2016,610,0
"SUNGEI KADUT",2017,530,-80
"SUNGEI KADUT",2018,560,30
"SUNGEI KADUT",2019,600,40
"SUNGEI KADUT",2020,530,-70
"SUNGEI KADUT",2021,550,20
"SUNGEI KADUT",2022,580,30
"SUNGEI KADUT",2023,550,-30
"TAMPINES",2001,252660,-780
"TAMPINES",2002,252810,150
"TAMPINES",2003,249670,-3140
"TAMPINES",2004,249810,140
"TAMPINES",2005,251140,1330
"TAMPINES",2006,252850,1710
"TAMPINES",2007,254460,1610
"TAMPINES",2008,256990,2530
"TAMPINES",2009,261780,4790
"TAMPINES",2010,261960,180
"TAMPINES",2011,261150,-810
"TAMPINES",2012,260320,-830
"TAMPINES",2013,259770,-550
"TAMPINES",2014,259170,-600
"TAMPINES",2015,261580,2410
"TAMPINES",2016,259470,-2110
"TAMPINES",2017,258710,-760
"TAMPINES",2018,257450,-1260
"TAMPINES",2019,257150,-300
"TAMPINES",2020,260520,3370
"TAMPINES",2021,258460,-2060
"TAMPINES",2022,265850,7390
"TAMPINES",2023,274770,8920
"TANGLIN",2001,14840,890
"TANGLIN",2002,15450,610
"TANGLIN",2003,14910,-540
"TANGLIN",2004,15500,590
"TANGLIN",2005,16340,840
"TANGLIN",2006,16880,540
"TANGLIN",2007,17110,230
"TANGLIN",2008,16590,-520
"TANGLIN",2009,17020,430
"TANGLIN",2010,17620,600
"TANGLIN",2011,17900,280
"TANGLIN",2012,18110,210
"TANGLIN",2013,18420,310
"TANGLIN",2014,18710,290
"TANGLIN",2015,19260,550
"TANGLIN",2016,19970,710
"TANGLIN",2017,20600,630
"TANGLIN",2018,21320,720
"TANGLIN",2019,21830,510
"TANGLIN",2020,22100,270
"TANGLIN",2021,21760,-340
"TANGLIN",2022,23270,1510
"TANGLIN",2023,24200,930
"TENGAH",2001,0,0
"TENGAH",2002,0,0
"TENGAH",2003,0,0
"TENGAH",2004,0,0
"TENGAH",2005,0,0
"TENGAH",2006,0,0
"TENGAH",2007,0,0
"TENGAH",2008,0,0
"TENGAH",2009,0,0
"TENGAH",2010,0,0
"TENGAH",2011,0,0
"TENGAH",2012,0,0
"TENGAH",2013,0,0
"TENGAH",2014,0,0
"TENGAH",2015,0,0
"TENGAH",2016,0,0
"TENGAH",2017,0,0
"TENGAH",2018,0,0
"TENGAH",2019,0,0
"TENGAH",2020,0,0
"TENGAH",2021,0,0
"TENGAH",2022,0,0
"TENGAH",2023,0,0
"TOA PAYOH",2001,120120,-1980
"TOA PAYOH",2002,118630,-1490
"TOA PAYOH",2003,115300,-3330
"TOA PAYOH",2004,115660,360
"TOA PAYOH",2005,115490,-170
"TOA PAYOH",2006,115930,440
"TOA PAYOH",2007,117220,1290
"TOA PAYOH",2008,119840,2620
"TOA PAYOH",2009,123810,3970
"TOA PAYOH",2010,125600,1790
"TOA PAYOH",2011,126400,800
"TOA PAYOH",2012,127030,630
"TOA PAYOH",2013,128440,1410
"TOA PAYOH",2014,127540,-900
"TOA PAYOH",2015,125960,-1580
"TOA PAYOH",2016,123840,-2120
"TOA PAYOH",2017,122650,-1190
"TOA PAYOH",2018,121460,-1190
"TOA PAYOH",2019,121610,150
"TOA PAYOH",2020,122640,1030
"TOA PAYOH",2021,123670,1030
"TOA PAYOH",2022,129250,5580
"TOA PAYOH",2023,135580,6330
"TUAS",2001,0,0
"TUAS",2002,0,0
"TUAS",2003,0,0
"TUAS",2004,0,0
"TUAS",2005,0,0
"TUAS",2006,0,0
"TUAS",2007,0,0
"TUAS",2008,0,0
"TUAS",2009,0,0
"TUAS",2010,0,0
"TUAS",2011,0,0
"TUAS",2012,0,0
"TUAS",2013,0,0
"TUAS",2014,0,0
"TUAS",2015,0,0
"TUAS",2016,0,0
"TUAS",2017,0,0
"TUAS",2018,0,0
"TUAS",2019,0,0
"TUAS",2020,0,0
"TUAS",2021,0,0
"TUAS",2022,0,0
"TUAS",2023,0,0
"WESTERN ISLANDS",2001,0,0
"WESTERN ISLANDS",2002,0,0
"WESTERN ISLANDS",2003,0,0
"WESTERN ISLANDS",2004,0,0
"WESTERN ISLANDS",2005,0,0
"WESTERN ISLANDS",2006,0,0
"WESTERN ISLANDS",2007,0,0
"WESTERN ISLANDS",2008,0,0
"WESTERN ISLANDS",2009,0,0
"WESTERN ISLANDS",2010,0,0
"WESTERN ISLANDS",2011,0,0
"WESTERN ISLANDS",2012,0,0
"WESTERN ISLANDS",2013,0,0
"WESTERN ISLANDS",2014,0,0
"WESTERN ISLANDS",2015,0,0
"WESTERN ISLANDS",2016,0,0
"WESTERN ISLANDS",2017,0,0
"WESTERN ISLANDS",2018,0,0
"WESTERN ISLANDS",2019,0,0
"WESTERN ISLANDS",2020,0,0
"WESTERN ISLANDS",2021,0,0
"WESTERN ISLANDS",2022,0,0
"WESTERN ISLANDS",2023,0,0
"WESTERN WATER CATCHMENT",2001,410,110
"WESTERN WATER CATCHMENT",2002,580,170
"WESTERN WATER CATCHMENT",2003,560,-20
"WESTERN WATER CATCHMENT",2004,640,80
"WESTERN WATER CATCHMENT",2005,740,100
"WESTERN WATER CATCHMENT",2006,840,100
"WESTERN WATER CATCHMENT",2007,850,10
"WESTERN WATER CATCHMENT",2008,980,130
"WESTERN WATER CATCHMENT",2009,980,0
"WESTERN WATER CATCHMENT",2010,1050,70
"WESTERN WATER CATCHMENT",2011,1020,-30
"WESTERN WATER CATCHMENT",2012,1050,30
"WESTERN WATER CATCHMENT",2013,980,-70
"WESTERN WATER CATCHMENT",2014,950,-30
"WESTERN WATER CATCHMENT",2015,910,-40
"WESTERN WATER CATCHMENT",2016,780,-130
"WESTERN WATER CATCHMENT",2017,640,-140
"WESTERN WATER CATCHMENT",2018,670,30
"WESTERN WATER CATCHMENT",2019,670,0
"WESTERN WATER CATCHMENT",2020,650,-20
"WESTERN WATER CATCHMENT",2021,540,-110
"WESTERN WATER CATCHMENT",2022,560,20
"WESTERN WATER CATCHMENT",2023,520,-40
"WOODLANDS",2001,199670,10500
"WOODLANDS",2002,208830,9160
"WOODLANDS",2003,212960,4130
"WOODLANDS",2004,217800,4840
"WOODLANDS",2005,222240,4440
"WOODLANDS",2006,225730,3490
"WOODLANDS",2007,229620,3890
"WOODLANDS",2008,235000,5380
"WOODLANDS",2009,243340,8340
"WOODLANDS",2010,245500,2160
"WOODLANDS",2011,247850,2350
"WOODLANDS",2012,248370,520
"WOODLANDS",2013,250140,1770
"WOODLANDS",2014,250610,470
"WOODLANDS",2015,250690,80
"WOODLANDS",2016,250080,-610
"WOODLANDS",2017,250630,550
"WOODLANDS",2018,252960,2330
"WOODLANDS",2019,255090,2130
"WOODLANDS",2020,255650,560
"WOODLANDS",2021,249320,-6330
"WOODLANDS",2022,252570,3250
"WOODLANDS",2023,255790,3220
"YISHUN",2001,174910,-2670
"YISHUN",2002,175410,500
"YISHUN",2003,173080,-2330
"YISHUN",2004,173720,640
"YISHUN",2005,175230,1510
"YISHUN",2006,175800,570
"YISHUN",2007,178250,2450
"YISHUN",2008,181060,2810
"YISHUN",2009,185000,3940
"YISHUN",2010,185810,810
"YISHUN",2011,186100,290
"YISHUN",2012,187830,1730
"YISHUN",2013,188790,960
"YISHUN",2014,193420,4630
"YISHUN",2015,202730,9310
"YISHUN",2016,206550,3820
"YISHUN",2017,211150,4600
"YISHUN",2018,215660,4510
"YISHUN",2019,220990,5330
"YISHUN",2020,222590,1600
"YISHUN",2021,220000,-2590
"YISHUN",2022,223340,3340
"YISHUN",2023,229690,6350
